trial,t_ms,flywire_id,v_mv
0,178.1,10001,-52.000
0,178.1,10010,-52.000
0,178.2,10001,-52.000
0,178.2,10010,-52.000
0,178.3,10001,-52.000
0,178.3,10010,-52.000
0,178.4,10001,-52.000
0,178.4,10010,-52.000
0,178.5,10001,-52.000
0,178.5,10010,-52.000
0,178.6,10001,-52.000
0,178.6,10010,-52.000
0,178.7,10001,-52.000
0,178.7,10010,-52.000
0,178.8,10001,-52.000
0,178.8,10010,-52.000
0,178.9,10001,-52.000
0,178.9,10010,-52.000
0,179.0,10001,-52.000
0,179.0,10010,-52.000
0,179.1,10001,-52.000
0,179.1,10010,-52.000
0,179.2,10001,-52.000
0,179.2,10010,-52.000
0,179.3,10001,-52.000
0,179.3,10010,-52.000
0,179.4,10001,-52.000
0,179.4,10010,-52.000
0,179.5,10001,-52.000
0,179.5,10010,-52.000
0,179.6,10001,-52.000
0,179.6,10010,-52.000
0,179.7,10001,-52.000
0,179.7,10010,-52.000
0,179.8,10001,-52.000
0,179.8,10010,-52.000
0,179.9,10001,-52.000
0,179.9,10010,-52.000
0,180.0,10001,-52.000
0,180.0,10010,-52.000
0,180.1,10001,-52.000
0,180.1,10010,-52.000
0,180.2,10001,-52.000
0,180.2,10010,-52.000
0,180.3,10001,-52.000
0,180.3,10010,-52.000
0,180.4,10001,-52.000
0,180.4,10010,-52.000
0,180.5,10001,-52.000
0,180.5,10010,-52.000
0,180.6,10001,-52.000
0,180.6,10010,-52.000
0,180.7,10001,-52.000
0,180.7,10010,-52.000
0,180.8,10001,-52.000
0,180.8,10010,-52.000
0,180.9,10001,-52.000
0,180.9,10010,-52.000
0,181.0,10001,-52.000
0,181.0,10010,-52.000
0,181.1,10001,-52.000
0,181.1,10010,-52.000
0,181.2,10001,-52.000
0,181.2,10010,-52.000
0,181.3,10001,-52.000
0,181.3,10010,-52.000
0,181.4,10001,-52.000
0,181.4,10010,-52.000
0,181.5,10001,-52.000
0,181.5,10010,-52.000
0,181.6,10001,-52.000
0,181.6,10010,-52.000
0,181.7,10001,-52.000
0,181.7,10010,-52.000
0,181.8,10001,-52.000
0,181.8,10010,-52.000
0,181.9,10001,-52.000
0,181.9,10010,-52.000
0,182.0,10001,-52.000
0,182.0,10010,-52.000
0,182.1,10001,-52.000
0,182.1,10010,-52.000
0,182.2,10001,-52.000
0,182.2,10010,-52.000
0,182.3,10001,-52.000
0,182.3,10010,-52.000
0,182.4,10001,-52.000
0,182.4,10010,-52.000
0,182.5,10001,-52.000
0,182.5,10010,-52.000
0,182.6,10001,-52.000
0,182.6,10010,-52.000
0,182.7,10001,-52.000
0,182.7,10010,-52.000
0,182.8,10001,-52.000
0,182.8,10010,-52.000
0,182.9,10001,-52.000
0,182.9,10010,-52.000
0,183.0,10001,-52.000
0,183.0,10010,-52.000
0,183.1,10001,-52.000
0,183.1,10010,-52.000
0,183.2,10001,-52.000
0,183.2,10010,-52.000
0,183.3,10001,-52.000
0,183.3,10010,-52.000
0,183.4,10001,-52.000
0,183.4,10010,-52.000
0,183.5,10001,-52.000
0,183.5,10010,-52.000
0,183.6,10001,-52.000
0,183.6,10010,-52.000
0,183.7,10001,-52.000
0,183.7,10010,-52.000
0,183.8,10001,-52.000
0,183.8,10010,-52.000
0,183.9,10001,-52.000
0,183.9,10010,-52.000
0,184.0,10001,-52.000
0,184.0,10010,-52.000
0,184.1,10001,-52.000
0,184.1,10010,-52.000
0,184.2,10001,-52.000
0,184.2,10010,-52.000
0,184.3,10001,-52.000
0,184.3,10010,-52.000
0,184.4,10001,-52.000
0,184.4,10010,-52.000
0,184.5,10001,-52.000
0,184.5,10010,-52.000
0,184.6,10001,-52.000
0,184.6,10010,-52.000
0,184.7,10001,-52.000
0,184.7,10010,-52.000
0,184.8,10001,-52.000
0,184.8,10010,-52.000
0,184.9,10001,-52.000
0,184.9,10010,-52.000
0,185.0,10001,-52.000
0,185.0,10010,-52.000
0,185.1,10001,-52.000
0,185.1,10010,-52.000
0,185.2,10001,-52.000
0,185.2,10010,-52.000
0,185.3,10001,-52.000
0,185.3,10010,-52.000
0,185.4,10001,-52.000
0,185.4,10010,-52.000
0,185.5,10001,-52.000
0,185.5,10010,-52.000
0,185.6,10001,-52.000
0,185.6,10010,-52.000
0,185.7,10001,-52.000
0,185.7,10010,-52.000
0,185.8,10001,-52.000
0,185.8,10010,-52.000
0,185.9,10001,-52.000
0,185.9,10010,-52.000
0,186.0,10001,-52.000
0,186.0,10010,-52.000
0,186.1,10001,-52.000
0,186.1,10010,-52.000
0,186.2,10001,-52.000
0,186.2,10010,-52.000
0,186.3,10001,-52.000
0,186.3,10010,-52.000
0,186.4,10001,-52.000
0,186.4,10010,-52.000
0,186.5,10001,-52.000
0,186.5,10010,-52.000
0,186.6,10001,-52.000
0,186.6,10010,-52.000
0,186.7,10001,-52.000
0,186.7,10010,-52.000
0,186.8,10001,-52.000
0,186.8,10010,-52.000
0,186.9,10001,-52.000
0,186.9,10010,-52.000
0,187.0,10001,-52.000
0,187.0,10010,-52.000
0,187.1,10001,-52.000
0,187.1,10010,-52.000
0,187.2,10001,-52.000
0,187.2,10010,-52.000
0,187.3,10001,-52.000
0,187.3,10010,-52.000
0,187.4,10001,-52.000
0,187.4,10010,-52.000
0,187.5,10001,-52.000
0,187.5,10010,-52.000
0,187.6,10001,-52.000
0,187.6,10010,-52.000
0,187.7,10001,-52.000
0,187.7,10010,-52.000
0,187.8,10001,-52.000
0,187.8,10010,-52.000
0,187.9,10001,-52.000
0,187.9,10010,-52.000
0,188.0,10001,-52.000
0,188.0,10010,-52.000
0,188.1,10001,-52.000
0,188.1,10010,-52.000
0,188.2,10001,-52.000
0,188.2,10010,-52.000
0,188.3,10001,-52.000
0,188.3,10010,-52.000
0,188.4,10001,-52.000
0,188.4,10010,-52.000
0,188.5,10001,-52.000
0,188.5,10010,-52.000
0,188.6,10001,-52.000
0,188.6,10010,-52.000
0,188.7,10001,-52.000
0,188.7,10010,-52.000
0,188.8,10001,-52.000
0,188.8,10010,-52.000
0,188.9,10001,-52.000
0,188.9,10010,-52.000
