trial,t_ms,flywire_id,v_mv
0,93.8,10001,-47.682
0,93.8,10010,-51.259
0,93.9,10001,-47.683
0,93.9,10010,-51.259
0,94.0,10001,-47.685
0,94.0,10010,-51.260
0,94.1,10001,-47.686
0,94.1,10010,-51.261
0,94.2,10001,-47.689
0,94.2,10010,-51.262
0,94.3,10001,-47.692
0,94.3,10010,-51.261
0,94.4,10001,-47.695
0,94.4,10010,-51.261
0,94.5,10001,-47.698
0,94.5,10010,-51.260
0,94.6,10001,-47.702
0,94.6,10010,-51.260
0,94.7,10001,-47.706
0,94.7,10010,-51.259
0,94.8,10001,-47.710
0,94.8,10010,-51.259
0,94.9,10001,-47.715
0,94.9,10010,-51.259
0,95.0,10001,-47.720
0,95.0,10010,-51.258
0,95.1,10001,-47.725
0,95.1,10010,-51.258
0,95.2,10001,-47.731
0,95.2,10010,-51.258
0,95.3,10001,-47.737
0,95.3,10010,-51.258
0,95.4,10001,-47.743
0,95.4,10010,-51.258
0,95.5,10001,-47.749
0,95.5,10010,-51.259
0,95.6,10001,-47.756
0,95.6,10010,-51.259
0,95.7,10001,-47.763
0,95.7,10010,-51.259
0,95.8,10001,-47.770
0,95.8,10010,-51.260
0,95.9,10001,-47.778
0,95.9,10010,-51.260
0,96.0,10001,-47.785
0,96.0,10010,-51.261
0,96.1,10001,-47.793
0,96.1,10010,-51.261
0,96.2,10001,-47.801
0,96.2,10010,-51.262
0,96.3,10001,-47.810
0,96.3,10010,-51.263
0,96.4,10001,-47.818
0,96.4,10010,-51.263
0,96.5,10001,-47.827
0,96.5,10010,-51.264
0,96.6,10001,-47.836
0,96.6,10010,-51.265
0,96.7,10001,-47.845
0,96.7,10010,-51.266
0,96.8,10001,-47.854
0,96.8,10010,-51.267
0,96.9,10001,-47.864
0,96.9,10010,-51.268
0,97.0,10001,-47.873
0,97.0,10010,-51.269
0,97.1,10001,-47.883
0,97.1,10010,-51.270
0,97.2,10001,-47.893
0,97.2,10010,-51.271
0,97.3,10001,-47.890
0,97.3,10010,-51.272
0,97.4,10001,-47.888
0,97.4,10010,-51.274
0,97.5,10001,-47.870
0,97.5,10010,-51.275
0,97.6,10001,-47.854
0,97.6,10010,-51.276
0,97.7,10001,-47.839
0,97.7,10010,-51.278
0,97.8,10001,-47.824
0,97.8,10010,-51.274
0,97.9,10001,-47.810
0,97.9,10010,-51.272
0,98.0,10001,-47.797
0,98.0,10010,-51.269
0,98.1,10001,-47.784
0,98.1,10010,-51.266
0,98.2,10001,-47.772
0,98.2,10010,-51.264
0,98.3,10001,-47.759
0,98.3,10010,-51.261
0,98.4,10001,-47.746
0,98.4,10010,-51.259
0,98.5,10001,-47.734
0,98.5,10010,-51.257
0,98.6,10001,-47.722
0,98.6,10010,-51.255
0,98.7,10001,-47.711
0,98.7,10010,-51.253
0,98.8,10001,-47.701
0,98.8,10010,-51.252
0,98.9,10001,-47.692
0,98.9,10010,-51.250
0,99.0,10001,-47.683
0,99.0,10010,-51.249
0,99.1,10001,-47.675
0,99.1,10010,-51.247
0,99.2,10001,-47.668
0,99.2,10010,-51.246
0,99.3,10001,-47.661
0,99.3,10010,-51.245
0,99.4,10001,-47.655
0,99.4,10010,-51.244
0,99.5,10001,-47.649
0,99.5,10010,-51.243
0,99.6,10001,-47.644
0,99.6,10010,-51.242
0,99.7,10001,-47.639
0,99.7,10010,-51.241
0,99.8,10001,-47.635
0,99.8,10010,-51.241
0,99.9,10001,-47.632
0,99.9,10010,-51.240
0,100.0,10001,-47.629
0,100.0,10010,-51.240
0,100.1,10001,-47.626
0,100.1,10010,-51.237
0,100.2,10001,-47.624
0,100.2,10010,-51.235
0,100.3,10001,-47.623
0,100.3,10010,-51.234
0,100.4,10001,-47.622
0,100.4,10010,-51.232
0,100.5,10001,-47.621
0,100.5,10010,-51.230
0,100.6,10001,-47.621
0,100.6,10010,-51.229
0,100.7,10001,-47.622
0,100.7,10010,-51.227
0,100.8,10001,-47.622
0,100.8,10010,-51.226
0,100.9,10001,-47.623
0,100.9,10010,-51.225
0,101.0,10001,-47.625
0,101.0,10010,-51.223
0,101.1,10001,-47.627
0,101.1,10010,-51.222
0,101.2,10001,-47.629
0,101.2,10010,-51.222
0,101.3,10001,-47.632
0,101.3,10010,-51.221
0,101.4,10001,-47.635
0,101.4,10010,-51.220
0,101.5,10001,-47.639
0,101.5,10010,-51.219
0,101.6,10001,-47.642
0,101.6,10010,-51.219
0,101.7,10001,-47.647
0,101.7,10010,-51.219
0,101.8,10001,-47.651
0,101.8,10010,-51.218
0,101.9,10001,-47.656
0,101.9,10010,-51.218
0,102.0,10001,-47.661
0,102.0,10010,-51.218
0,102.1,10001,-47.666
0,102.1,10010,-51.218
0,102.2,10001,-47.672
0,102.2,10010,-51.218
0,102.3,10001,-47.678
0,102.3,10010,-51.218
0,102.4,10001,-47.684
0,102.4,10010,-51.218
0,102.5,10001,-47.691
0,102.5,10010,-51.218
0,102.6,10001,-47.697
0,102.6,10010,-51.218
0,102.7,10001,-47.704
0,102.7,10010,-51.219
0,102.8,10001,-47.698
0,102.8,10010,-51.219
0,102.9,10001,-47.693
0,102.9,10010,-51.220
0,103.0,10001,-47.688
0,103.0,10010,-51.220
0,103.1,10001,-47.684
0,103.1,10010,-51.221
0,103.2,10001,-47.680
0,103.2,10010,-51.222
0,103.3,10001,-47.677
0,103.3,10010,-51.222
0,103.4,10001,-47.674
0,103.4,10010,-51.223
0,103.5,10001,-47.672
0,103.5,10010,-51.224
0,103.6,10001,-47.670
0,103.6,10010,-51.225
0,103.7,10001,-47.669
0,103.7,10010,-51.226
0,103.8,10001,-47.668
0,103.8,10010,-51.227
0,103.9,10001,-47.668
0,103.9,10010,-51.228
0,104.0,10001,-47.668
0,104.0,10010,-51.229
0,104.1,10001,-47.668
0,104.1,10010,-51.230
0,104.2,10001,-47.669
0,104.2,10010,-51.231
0,104.3,10001,-47.670
0,104.3,10010,-51.233
