trial,t_ms,flywire_id,v_mv
0,190.1,10010,-51.788
0,190.2,10001,-48.023
0,190.2,10010,-51.784
0,190.3,10001,-48.013
0,190.3,10010,-51.781
0,190.4,10001,-48.005
0,190.4,10010,-51.778
0,190.5,10001,-47.996
0,190.5,10010,-51.775
0,190.6,10001,-47.989
0,190.6,10010,-51.773
0,190.7,10001,-47.982
0,190.7,10010,-51.770
0,190.8,10001,-47.976
0,190.8,10010,-51.767
0,190.9,10001,-47.970
0,190.9,10010,-51.765
0,191.0,10001,-47.965
0,191.0,10010,-51.762
0,191.1,10001,-47.960
0,191.1,10010,-51.760
0,191.2,10001,-47.956
0,191.2,10010,-51.758
0,191.3,10001,-47.952
0,191.3,10010,-51.756
0,191.4,10001,-47.949
0,191.4,10010,-51.754
0,191.5,10001,-47.946
0,191.5,10010,-51.752
0,191.6,10001,-47.944
0,191.6,10010,-51.750
0,191.7,10001,-47.942
0,191.7,10010,-51.748
0,191.8,10001,-47.940
0,191.8,10010,-51.746
0,191.9,10001,-47.939
0,191.9,10010,-51.744
0,192.0,10001,-47.939
0,192.0,10010,-51.743
0,192.1,10001,-47.939
0,192.1,10010,-51.741
0,192.2,10001,-47.939
0,192.2,10010,-51.739
0,192.3,10001,-47.940
0,192.3,10010,-51.738
0,192.4,10001,-47.941
0,192.4,10010,-51.737
0,192.5,10001,-47.942
0,192.5,10010,-51.733
0,192.6,10001,-47.944
0,192.6,10010,-51.730
0,192.7,10001,-47.946
0,192.7,10010,-51.727
0,192.8,10001,-47.949
0,192.8,10010,-51.725
0,192.9,10001,-47.952
0,192.9,10010,-51.722
0,193.0,10001,-47.955
0,193.0,10010,-51.719
0,193.1,10001,-47.958
0,193.1,10010,-51.717
0,193.2,10001,-47.962
0,193.2,10010,-51.714
0,193.3,10001,-47.966
0,193.3,10010,-51.712
0,193.4,10001,-47.971
0,193.4,10010,-51.710
0,193.5,10001,-47.975
0,193.5,10010,-51.708
0,193.6,10001,-47.980
0,193.6,10010,-51.705
0,193.7,10001,-47.986
0,193.7,10010,-51.703
0,193.8,10001,-47.991
0,193.8,10010,-51.702
0,193.9,10001,-47.997
0,193.9,10010,-51.700
0,194.0,10001,-48.003
0,194.0,10010,-51.698
0,194.1,10001,-48.009
0,194.1,10010,-51.696
0,194.2,10001,-48.016
0,194.2,10010,-51.695
0,194.3,10001,-48.023
0,194.3,10010,-51.693
0,194.4,10001,-48.030
0,194.4,10010,-51.691
0,194.5,10001,-48.037
0,194.5,10010,-51.690
0,194.6,10001,-48.044
0,194.6,10010,-51.689
0,194.7,10001,-48.052
0,194.7,10010,-51.687
0,194.8,10001,-48.060
0,194.8,10010,-51.686
0,194.9,10001,-48.068
0,194.9,10010,-51.685
0,195.0,10001,-48.076
0,195.0,10010,-51.684
0,195.1,10001,-48.084
0,195.1,10010,-51.683
0,195.2,10001,-48.093
0,195.2,10010,-51.682
0,195.3,10001,-48.102
0,195.3,10010,-51.681
0,195.4,10001,-48.111
0,195.4,10010,-51.680
0,195.5,10001,-48.106
0,195.5,10010,-51.679
0,195.6,10001,-48.103
0,195.6,10010,-51.678
0,195.7,10001,-48.099
0,195.7,10010,-51.678
0,195.8,10001,-48.082
0,195.8,10010,-51.677
0,195.9,10001,-48.065
0,195.9,10010,-51.676
0,196.0,10001,-48.049
0,196.0,10010,-51.671
0,196.1,10001,-48.033
0,196.1,10010,-51.666
0,196.2,10001,-48.019
0,196.2,10010,-51.662
0,196.3,10001,-48.005
0,196.3,10010,-51.657
0,196.4,10001,-47.992
0,196.4,10010,-51.653
0,196.5,10001,-47.977
0,196.5,10010,-51.649
0,196.6,10001,-47.962
0,196.6,10010,-51.644
0,196.7,10001,-47.949
0,196.7,10010,-51.640
0,196.8,10001,-47.936
0,196.8,10010,-51.637
0,196.9,10001,-47.924
0,196.9,10010,-51.633
0,197.0,10001,-47.913
0,197.0,10010,-51.629
0,197.1,10001,-47.902
0,197.1,10010,-51.626
0,197.2,10001,-47.892
0,197.2,10010,-51.622
0,197.3,10001,-47.883
0,197.3,10010,-51.619
0,197.4,10001,-47.874
0,197.4,10010,-51.616
0,197.5,10001,-47.866
0,197.5,10010,-51.613
0,197.6,10001,-47.858
0,197.6,10010,-51.610
0,197.7,10001,-47.852
0,197.7,10010,-51.608
0,197.8,10001,-47.845
0,197.8,10010,-51.605
0,197.9,10001,-47.840
0,197.9,10010,-51.602
0,198.0,10001,-47.834
0,198.0,10010,-51.600
0,198.1,10001,-47.830
0,198.1,10010,-51.597
0,198.2,10001,-47.826
0,198.2,10010,-51.595
0,198.3,10001,-47.822
0,198.3,10010,-51.591
0,198.4,10001,-47.819
0,198.4,10010,-51.588
0,198.5,10001,-47.816
0,198.5,10010,-51.584
0,198.6,10001,-47.814
0,198.6,10010,-51.580
0,198.7,10001,-47.812
0,198.7,10010,-51.577
0,198.8,10001,-47.811
0,198.8,10010,-51.574
0,198.9,10001,-47.810
0,198.9,10010,-51.571
0,199.0,10001,-47.810
